num_repeat,rf,rfsut,rs,mr,sendTime,end_to_end_latency,first_step,second_step,third_step,totalTime,total_time
0,1,100000,1024,-1,1670478479069295,12239260,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069296,12239259,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069297,12239258,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069298,12239257,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069303,12239252,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069304,12239251,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069305,12239250,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069305,12239250,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069306,12239249,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069306,12239249,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069307,12239248,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069308,12239402,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069311,12239399,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069312,12239398,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069315,12239395,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069315,12239395,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069316,12239394,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069317,12239393,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069317,12239393,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069318,12239392,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069318,12239392,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069319,12239391,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069320,12239390,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069336,12239374,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069337,12239373,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069337,12239373,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069338,12239484,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069340,12239482,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069341,12239481,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069342,12239480,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069343,12239479,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069344,12239478,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069348,12239474,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069348,12239474,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069349,12239473,0,0,0,,12243516.0
0,1,100000,1024,-1,1670478479069349,12239473,0,0,0,,12243516.0
