num_repeat,rf,rfsut,rs,mr,ete_latency50,ete_latency_avg,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_std,avg_first_step,avg_second_step,avg_third_step,med_first_step,med_second_step,med_third_step,throughput(MiB/s),throughput(ops)
0,1,100000,1024,-1,12240610,12240670,12239248,12239255.25,12239367.25,12239478.5,12242062.5,12242216.0,12242376.0,12242385,936,0,0,0,0,0,0,0.05,54
0,1,100000,16384,-1,4482507,4482592,4478983,4479061.15,4479379.75,4479720.0,4485542.5,4485913.25,4486269.3,4486347,2096,0,0,0,0,0,0,2.32,148
0,1,100000,262144,-1,6610152,6610184,6605864,6606214.8,6607028.0,6607558.6,6612901.8,6613531.0,6614369.72,6614695,2018,0,0,0,0,0,0,12.51,50
0,1,100000,1024,1000,663,2524,460,520.25,555.25,577.0,9532.5,16787.25,23719.95000000003,25388,5250,0,0,0,0,0,0,0.98,999
0,1,100000,262144,1000,1274,1540,959,981.24,1032.8,1066.2,1812.8,3011.799999999999,5603.040000000009,16933,1149,0,0,0,0,0,0,249.04,996
0,1,100000,262144,2000,917918,918922,869337,870007.76,871915.6,873785.6,964911.6,971898.4,975680.68,977605,33118,0,0,0,0,0,0,80.23,320
0,1,100000,262144,3000,1758552,1758675,1724266,1726924.96,1729344.8,1732120.6,1784563.6,1787532.5999999999,1791056.0,1791320,18827,0,0,0,0,0,0,45.32,181
0,1,100000,262144,5000,4021406,4020938,4004239,4004415.0,4011955.6,4013161.6,4028703.2,4029461.8,4030560.44,4030791,6173,0,0,0,0,0,0,20.42,81
0,1,100000,1024,15000,629,1466,451,462.3,501.25,524.5,6304.0,6427.0,9405.7,9426,2027,0,0,0,0,0,0,13.98,14316
0,1,100000,1024,20000,602,600,467,477.3,509.25,526.0,672.5,689.75,701.7,711,54,0,0,0,0,0,0,18.73,19182
0,1,100000,16384,20000,78476,78041,65904,65941.25,67837.5,69396.5,87379.0,89062.25,89250.05,89310,6734,0,0,0,0,0,0,104.97,6717
0,1,100000,1024,30000,8383,18147,7079,7083.0,7222.25,7373.5,69567.5,69644.5,69683.75,69704,22632,0,0,0,0,0,0,8.9,9108
0,1,100000,16384,30000,1751483,1786832,1748801,1748896.45,1749331.75,1749594.5,1846473.0,1848875.0,1849143.7,1849182,46307,0,0,0,0,0,0,5.58,356
0,1,100000,16384,50000,2803079,2806328,2800642,2800703.65,2801001.5,2801371.0,2806692.0,2807095.5,2990712.4,2990932,23952,0,0,0,0,0,0,3.46,221
0,1,100000,16384,60000,4421224,4421353,4419625,4419647.25,4419834.0,4420075.5,4422629.0,4423330.75,4423487.4,4423518,975,0,0,0,0,0,0,2.35,150
0,3,100000,1024,-1,16730327,16730271,16728582,16728585.0,16728777.8,16728960.0,16731410.0,16731493.4,16731583.04,16731592,912,0,0,0,0,0,0,0.02,19
0,3,100000,16384,-1,12332630,12332767,12327611,12327705.8,12328116.0,12328592.0,12337087.0,12337648.5,12338122.95,12338241,3069,0,0,0,0,0,0,0.84,53
0,3,100000,262144,-1,12574990,12574991,12570802,12571148.84,12571900.4,12572408.4,12577518.0,12577982.4,12578778.64,12579192,1924,0,0,0,0,0,0,6.6,26
0,3,100000,1024,5000,205593,206787,144241,146221.65,150341.5,156500.5,256926.5,263146.75,268035.95000000007,269358,36063,0,0,0,0,0,0,2.34,2397
0,3,100000,1024,15000,523234,522348,502040,502051.3,504996.5,505142.0,538521.0,541233.75,541456.4,541503,11704,0,0,0,0,0,0,1.19,1221
0,3,100000,1024,25000,832,841,502,515.3,559.25,604.0,1083.5,1168.5,1334.4500000000003,1365,187,0,0,0,0,0,0,24.09,24673
0,3,100000,16384,30000,12187262,12186457,12179111,12179211.25,12179651.25,12181871.0,12190680.0,12191247.25,12191715.65,12191843,3560,0,0,0,0,0,0,0.85,54
1,1,100000,1024,-1,12916518,12916536,12914991,12914998.65,12915159.0,12915319.5,12917789.5,12917937.75,12918093.35,12918102,885,0,0,0,0,0,0,0.05,51
1,1,100000,16384,-1,4397578,4397599,4395247,4395290.3,4395498.5,4395759.5,4399477.0,4399715.0,4399915.45,4399966,1347,0,0,0,0,0,0,2.36,151
1,1,100000,262144,-1,5210116,5210101,5205264,5205624.96,5206455.4,5207046.2,5213201.0,5213955.0,5214911.96,5215315,2273,0,0,0,0,0,0,15.85,63
1,1,100000,1024,1000,669,2883,430,502.6,557.0,587.0,11465.5,18434.0,23023.850000000002,24841,5520,0,0,0,0,0,0,0.98,999
1,1,100000,262144,1000,1112,1899,697,806.0,914.4,934.8,2590.600000000001,6340.199999999966,15443.12,16809,2546,0,0,0,0,0,0,245.22,980
