# 0  message size(bytes)
# 1  average (us)
# 2  stddev
# 3  min
# 4  max
# 5  1pct
# 6  5pct
# 7  10pct
# 8  median
# 9  90pct
# 10 95pct
# 11 99pct
#0      #1      #2      #3      #4      #5      #6      #7      #8      #9      #10     #11
1024    4031    13085   88      303023  151     232     291     332     10368   14463   21956
16384   319587  804092  98      4265684 172     259     316     380     1454749 2241457 3801377
262144  2088204 1998793 611     6271072 758     808     825     1687314 5098949 5620163 6083275
