# 0  message size(bytes)
# 1  average (us)
# 2  stddev
# 3  min
# 4  max
# 5  1pct
# 6  5pct
# 7  10pct
# 8  median
# 9  90pct
# 10 95pct
# 11 99pct
#0      #1      #2      #3      #4      #5      #6      #7      #8      #9      #10     #11
1024    4224    6272    75      46277   96      101     103     118     13831   17733   23367
16384   4549    6150    105     28888   120     123     126     147     14849   17216   20677
262144  4523    5934    694     25759   787     822     844     912     15211   17837   21101
