# 0  message size(bytes)
# 1  average (us)
# 2  stddev
# 3  min
# 4  max
# 5  1pct
# 6  5pct
# 7  10pct
# 8  median
# 9  90pct
# 10 95pct
# 11 99pct
#0      #1      #2      #3      #4      #5      #6      #7      #8      #9      #10     #11
1024   6889     8100    126    36459    191     314    356     1819    20003   22468   26890
16384  8787     9668    152    38629    389     424    473     3960    24546   27118   29782
262144 449234   694806  617    3250815  724     769    806     99150   1426354  2231198  2878706
