num_repeat,rf,rfsut,rs,mr,ete_latency50,ete_latency_avg,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_std,avg_first_step,avg_second_step,avg_third_step,med_first_step,med_second_step,med_third_step,throughput(MiB/s),throughput(ops)
0,3,10,16384,6000,12231064,12225729,11820219,11829838.46,11857724.8,11894408.9,12534597.9,12547592.45,12567289.48,12570271,235625,134325,21,12091382,1127,19,12113631,11,741
0,3,10,1024,8000,12448188,12435248,12141621,12149045.78,12178997.9,12200659.0,12621591.1,12630954.0,12641021.7,12647945,147627,54553,128,12380566,479,118,12420749,0,966
0,3,10,16384,8000,12020939,12036507,11892230,11898661.44,11908976.8,11909974.7,12189244.3,12197543.0,12207973.11,12212757,111657,375543,15,11660948,372570,14,11645339,11,760
0,3,10,1024,10000,12796459,12804869,12752087,12752956.74,12755364.1,12757315.4,12870851.9,12878078.3,12886575.26,12893088,43402,138596,107,12666166,615,82,12755682,0,946
0,3,10,16384,10000,12592275,12592866,12511599,12525108.63,12546867.95,12551929.3,12639035.7,12646862.05,12653900.31,12657316,32272,605097,13,11987754,608505,13,11982924,11,735
0,3,10,1024,15000,12870308,12888835,12631000,12637526.04,12709137.8,12760724.2,13001031.0,13002343.3,13018629.56,13023433,98072,401204,51,12487580,406657,32,12460594,0,958
0,3,10,16384,15000,13067783,13065627,12880096,12889798.7,12925646.5,12964309.8,13143197.3,13154480.3,13167887.36,13170125,62683,937504,12,12128110,946529,11,12124027,11,722
0,3,10,1024,18000,12947077,12949409,12654786,12658504.12,12701751.8,12770022.5,13121886.5,13145304.8,13169604.22,13181167,125498,561422,52,12387934,565160,31,12384045,0,958
0,3,10,16384,18000,12984903,12977733,12764401,12794981.79,12830226.65,12860497.0,13075137.0,13087560.75,13123539.22,13131287,77646,1075626,12,11902094,1084525,12,11903309,11,730
0,3,10000,1024,500,1563,7580,197,376.0,405.0,454.0,22366.000000000007,25098.79999999999,28457.36,32972,8925,334,73,7172,346,71,1139,0,498
0,3,10000,16384,500,3007,8476,212,401.0,421.0,484.0,24110.399999999998,26857.29999999999,31166.02,36574,9622,351,75,8048,365,72,2587,7,498
0,3,10000,262144,500,460318,1535309,751,826.0,864.65,883.0,4569076.300000001,5081666.649999999,5499371.08,5606815,1833785,459,193,1534655,460,182,459667,75,303
0,3,10000,1024,800,2728,7070,125,190.66000000000003,323.0,363.0,20040.4,22322.699999999997,25656.38,30543,8005,239,68,6762,250,66,2415,0,796
0,3,10000,16384,800,3463,39222,155,214.0,346.0,389.0,26213.799999999996,124241.99999999863,944824.6200000002,1148372,151662,244,75,38902,257,72,3135,12,794
0,3,10000,262144,800,814758,1724580,750,831.99,864.0,880.0,4895396.100000001,5418515.899999999,5838606.600000001,5945473,1956536,451,193,1723934,453,174,814116,75,303
