rf,rs,mr,throughput(ops),ete_latency50,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_latency_avg,ete_std,first_latency50,first_min,first_1P,first_5P,first_10P,first_90P,first_95P,first_99P,first_max,first_latency_avg,first_std,second_latency50,second_min,second_1P,second_5P,second_10P,second_90P,second_95P,second_99P,second_max,second_latency_avg,second_std,third_latency50,third_min,third_1P,third_5P,third_10P,third_90P,third_95P,third_99P,third_max,third_latency_avg,third_std,throughput(MiB/s)
3,262144,5000,248,12825764,12502619,12508594,12548195,12579943,12899000,12905288,12911639,12914869,12770539,131227,831481,578982,595862,627990,655055,943040,957744,971581,979220,813523,108698,11165655,10834062,10840394,10868261,10899997,11305528,11324483,11353892,11361493,11130508,147678,837433,443204,468964,493194,536480,1110641,1142846,1167932,1182019,826507,208933,62
3,262144,8000,248,12827532,12313165,12318320,12344928,12384322,13099409,13150974,13222684,13241654,12781678,265795,857341,712552,721255,744708,771942,955698,971190,985473,993182,860473,68778,11153492,10606770,10613103,10638638,10670160,11297899,11319900,11350278,11358148,11048442,242815,864784,453484,475314,506372,544787,1204949,1262160,1374907,1408843,872762,249704,62
3,262144,15000,249,12720603,12501727,12523821,12551870,12574758,12919985,13017814,13105148,13121996,12731301,130908,860329,718916,727614,749531,769400,954241,965975,979194,995902,860547,68513,10984357,10781469,10788106,10813797,10847062,11142131,11176649,11211125,11218828,10983746,107521,884417,453344,487644,537855,571433,1216114,1252090,1335549,1366380,887007,234712,62
3,262144,6000,250,12633715,12339270,12345092,12395929,12429610,13031000,13076430,13104496,13111054,12697246,217758,848911,724962,733771,747494,759121,944239,966156,991673,999187,852424,69235,10943255,10697932,10704360,10730099,10762160,11272219,11308130,11343782,11359038,10994646,186782,857914,463401,474335,511425,545873,1145803,1178181,1229519,1246821,850175,216612,62
3,262144,2000,302,669078,787,866,895,911,4747143,5245423,5722327,6039078,1649147,1907892,455,278,358,393,403,479,486,509,1194,445,35,357,217,252,258,265,4030729,4578053,5116398,5455894,1208500,1637646,596472,120,168,180,189,964186,1008052,1058589,1076522,440201,413231,75
3,262144,1000,303,594978,695,837,873,893,4687403,5189486,5627428,5868474,1603996,1879919,461,308,381,410,422,483,491,515,3726,458,49,322,154,230,235,243,3967973,4513160,4967951,5166028,1177516,1607823,594141,59,158,172,181,916435,963055,1021670,1050711,426021,403356,75
3,262144,500,304,542072,708,806,839,861,4622069,5135569,5671404,5982769,1572035,1859924,449,295,356,392,401,475,482,503,3681,443,60,308,160,228,234,238,3975857,4524879,5083168,5416662,1186565,1616554,534576,70,158,174,184,834193,872848,926276,942876,385026,366040,76
3,262144,800,304,936475,727,822,862,883,5014427,5524195,5951644,6163769,1796196,1999667,451,298,359,396,405,472,480,500,4048,445,54,458,152,227,232,236,4320116,4870303,5320665,5540640,1355303,1745943,642043,127,170,184,193,899488,926995,956507,969700,440447,388659,76
3,262144,3000,304,991545,717,830,868,890,5030922,5539569,5980574,6228625,1813144,2006458,460,278,370,405,416,480,488,510,2392,455,37,368,183,229,234,238,4297157,4850025,5311044,5472625,1343507,1737954,647779,72,165,181,190,962491,1008284,1092789,1120861,469181,414046,76
3,262144,4000,304,702589,729,836,868,887,4810602,5321779,5743846,6016369,1670591,1927508,460,274,387,410,423,480,488,511,1520,456,29,336,175,233,239,245,4173609,4713026,5163084,5423284,1275988,1687817,574859,124,162,176,184,835830,868657,909928,926784,394146,364223,76
1,262144,50,50,216402,700,795,829,853,1474686,1702516,1956171,2163804,510216,601984,449,321,395,419,425,472,479,509,6124,450,66,247,148,176,189,199,291,306,384,7785,249,128,215708,73,159,172,182,1473976,1701776,1955447,2163132,509516,601981,12
1,262144,100,99,169177,690,762,798,829,1425397,1646188,1895993,2129538,480039,581845,445,279,386,416,424,465,472,500,3524,445,47,229,132,142,156,167,265,277,327,7254,225,132,168511,130,167,176,183,1424713,1645460,1895295,2128840,479368,581847,24
1,262144,200,192,1069,669,771,803,834,838336,1012549,1383403,1789559,244081,365326,443,279,373,406,418,469,476,501,13043,445,126,242,99,151,163,172,302,317,364,10495,241,111,345,23,163,170,176,837662,1011946,1382760,1788946,243394,365333,48
1,262144,300,290,1043,608,747,802,835,673282,858514,1173852,1326814,194783,303237,442,273,362,391,407,466,473,493,3917,439,43,237,110,150,164,171,275,286,320,9170,231,121,340,51,160,167,171,672645,857890,1173061,1326193,194113,303247,72
1,262144,400,304,1049,642,763,808,840,650123,847340,1070214,1204640,177704,287633,441,272,363,388,404,464,471,493,3194,438,40,240,115,152,168,180,268,279,324,12786,235,152,343,49,160,168,172,649477,846664,1069530,1204011,177030,287637,76
3,262144,50,49,287748,701,779,801,830,1523297,1715209,1929338,2101431,546476,615512,444,288,400,420,425,466,473,501,26010,448,231,238,144,156,164,169,266,276,355,11191,231,178,287081,113,164,175,184,1522612,1714599,1928720,2100748,545796,615512,12
3,262144,100,99,140816,663,759,785,820,1419839,1673231,1969645,2288205,469465,584429,425,268,327,339,350,457,464,492,3742,418,51,245,143,147,162,173,331,343,396,8093,252,156,140031,25,159,168,176,1419150,1672534,1968983,2287567,468794,584434,24
3,262144,200,194,1073,704,788,828,868,945485,1167414,1494567,1696008,283700,406217,445,313,386,412,420,478,498,529,4233,447,44,251,147,167,178,186,279,290,338,5934,245,117,349,51,152,167,176,944772,1166799,1493922,1695370,283007,406225,48
3,262144,300,289,7643,673,770,804,832,938708,1357175,2122855,2405460,312448,476209,438,280,354,380,392,462,469,489,6402,434,83,247,148,157,167,173,325,408086,1342965,1853633,53923,232912,6913,11,152,163,175,821558,1055948,1152357,1384878,258089,346085,72
3,262144,400,309,99150,617,724,769,806,1426354,2231198,2878706,3250815,449234,694806,436,253,334,373,391,459,466,486,5121,431,50,237,134,144,156,162,235234,1092357,1812198,2093269,111947,367254,98472,68,155,172,182,1018229,1223560,1265677,1287502,336855,416800,77
