rf,rs,mr,throughput(ops),ete_latency50,ete_min,ete_1P,ete_5P,ete_10P,ete_90P,ete_95P,ete_99P,ete_max,ete_latency_avg,ete_std,first_latency50,first_min,first_1P,first_5P,first_10P,first_90P,first_95P,first_99P,first_max,first_latency_avg,first_std,second_latency50,second_min,second_1P,second_5P,second_10P,second_90P,second_95P,second_99P,second_max,second_latency_avg,second_std,third_latency50,third_min,third_1P,third_5P,third_10P,third_90P,third_95P,third_99P,third_max,third_latency_avg,third_std,throughput(MiB/s)
1,1024,500,498,750,203,365,400,435,21289,24002,27393,32466,7069,8517,344,124,247,263,285,358,363,373,1841,333,32,94,41,89,90,90,112,118,130,4678,100,59,306,1,14,15,16,20845,23566,26944,32025,6634,8514,0
1,1024,800,796,1969,108,185,313,353,19511,22265,26774,33496,6775,7953,248,53,108,163,187,260,263,272,21787,237,101,103,37,50,91,93,117,122,131,4186,102,41,1618,0,13,15,16,19173,21920,26416,33165,6435,7950,0
1,1024,1000,994,2516,106,186,282,306,20943,24310,29616,38383,7403,8657,244,44,91,126,163,257,259,268,4830,223,61,98,38,49,63,95,117,123,132,5020,102,58,2173,5,13,14,16,20632,24000,29316,38009,7077,8656,0
1,1024,2000,1975,192,86,99,104,107,16012,19724,55223,99772,5828,9903,55,28,45,49,50,63,65,75,19201,57,85,37,27,33,34,34,47,50,59,13327,40,66,33,5,13,15,16,15915,19624,55124,99684,5730,9903,1
1,1024,3000,2964,118,75,96,101,103,13831,17733,23367,46277,4224,6272,53,32,41,46,48,58,60,63,4557,53,20,36,23,33,34,34,45,49,56,15369,39,79,23,3,13,14,15,13741,17641,23277,46186,4131,6271,2
1,1024,4000,3913,106,60,85,88,90,14443,19720,30313,46561,4704,7149,40,29,35,37,38,43,44,48,19715,41,124,36,12,33,34,34,45,49,56,10653,38,64,22,5,12,13,14,14363,19632,30235,46478,4623,7148,3
1,1024,20000,4391,2547627,1182644,1185575,1189047,1204067,3004242,3020309,3056178,3076428,2279285,726531,668067,339888,350718,387169,424511,883564,907105,951919,967286,660317,168754,56,32,34,36,36,130,141,238,11575,84,316,1899238,226110,239173,289940,386072,2477181,2585796,2696174,2733960,1618883,779536,4
1,1024,18000,4750,2430813,1103040,1108548,1122213,1159198,2503673,2511393,2519420,2524522,2031468,612540,593883,213540,235145,283478,318993,848856,881182,919071,936307,588368,193847,46,33,34,36,37,123,141,213,1427,69,65,1715885,211012,223549,295176,444447,2114184,2175753,2232437,2256823,1443029,647023,4
1,1024,5000,4893,858301,547,638,722,114139,1711977,1852294,1980944,2020281,886842,578043,375,66,259,293,318,410,428,583,10280,394,364,215,39,129,192,196,268,284,337,4256,226,95,857684,4,77,133,113477,1711368,1851736,1980368,2014784,886222,578054,4
1,1024,8000,5215,1521038,469,630,1383,81495,2176286,2322373,2453265,2490185,1269857,771130,401,129,248,293,327,288213,357573,418698,454321,63721,119657,181,35,47,87,97,214,226,302,2164,164,78,1520535,60,87,769,80899,2096046,2142997,2171265,2182060,1205971,757083,5
1,1024,6000,5340,974377,262765,286539,333616,399903,1576421,1651363,1723574,1746533,978793,425977,386,106,299,338,349,750,43096,123538,157948,5904,21767,191,34,51,102,108,241,260,331,3621,186,114,973826,260984,285957,333022,399339,1575857,1599057,1614682,1618800,972701,417312,5
1,1024,15000,5698,1034740,932385,944930,953839,963160,2343695,2392679,2411911,2426818,1443778,618634,439942,14464,31111,66752,107093,753637,788507,817878,836119,435370,233620,52,35,37,39,40,125,138,190,1464,73,65,782644,203859,215914,241498,285425,1999679,2115367,2219778,2243813,1008334,658535,5
1,1024,10000,6348,648491,300570,308757,360583,388978,1990590,2068942,2151790,2179564,988720,642510,794,83,250,320,354,458573,517572,579148,614298,140308,186288,119,30,37,47,56,211,225,321,1328,136,76,494821,193796,206715,232073,266019,1790224,1833109,1868713,1876766,848274,636458,6
1,16384,500,498,1305,196,377,419,467,22924,25843,29354,37315,7700,9161,362,84,234,259,277,381,386,396,14397,348,79,104,41,92,95,96,123,130,147,7158,108,67,826,13,25,27,28,22451,25396,28886,36840,7242,9160,7
1,16384,800,795,1730,142,215,338,376,22146,24917,28593,36492,7520,8906,261,58,119,177,201,275,279,290,5077,250,48,101,42,53,91,96,118,123,136,6470,105,80,1357,12,25,27,28,21789,24561,28245,36146,7164,8903,12
1,16384,1000,993,733,123,204,292,319,19525,22547,26164,35456,6472,7914,250,53,114,125,170,264,268,277,16189,230,94,97,38,50,57,88,115,121,131,5587,100,86,379,14,24,26,27,19182,22222,25831,35098,6142,7912,15
1,16384,2000,1979,147,105,120,123,126,14849,17216,20677,28888,4549,6150,60,41,51,55,56,68,73,197,19785,65,117,38,23,36,36,37,47,51,88,5661,42,90,36,18,25,26,27,14740,17113,20580,28791,4441,6150,30
1,16384,3000,2947,874,97,115,121,124,14913,18547,25763,40754,5120,6655,57,38,45,48,50,61,62,68,9436,57,54,39,31,36,37,37,50,53,62,9943,43,83,766,5,25,26,27,14816,18448,25663,40656,5019,6654,46
1,16384,4000,3633,131,65,106,109,112,10482,11987,14413,40636,3214,4394,46,27,40,42,43,49,50,56,27541,47,148,38,13,35,36,36,50,54,62,40556,43,208,36,14,25,26,27,10392,11895,14311,26321,3123,4388,56
1,16384,18000,3825,1468884,1294111,1301201,1309401,1319187,3121130,3125411,3131236,3136523,1964294,817224,1165855,1003844,1012871,1028666,1052416,1248993,1273841,1293883,1301728,1158765,74478,20,12,13,14,14,27,30,41,4973,21,57,364219,25470,26198,48373,66044,2003379,2051769,2104583,2116974,805507,833847,59
1,16384,8000,3830,1978708,303785,312586,371912,454013,2583387,2697280,2783206,2807880,1669490,817401,415335,100,324,646,21056,782694,830965,871313,895736,412835,270558,19,11,12,13,14,26,31,47,9848,21,92,1566817,29839,36126,64116,97395,2049992,2102854,2132590,2142257,1256632,786858,59
1,16384,15000,4114,1207968,1169308,1178668,1184655,1188412,2632449,2663614,2706171,2716514,1680586,664437,1003571,807478,820099,843846,867721,1127828,1142832,1163289,1173394,1000161,94674,20,11,12,13,14,27,32,59,7315,22,85,277828,50838,58147,71790,91243,1699880,1792142,1883432,1906066,680402,674251,64
1,16384,6000,4237,1292575,417,735,1491,121367,1966464,2050730,2135383,2161836,1145409,676387,1766,70,343,473,574,504530,571981,649915,685857,155080,205764,30,15,16,17,19,42,51,104,5801,33,71,1291317,32,114,234,51274,1625296,1647526,1665599,1671705,990295,646298,66
1,16384,5000,4283,199083,250,493,615,726,2011243,2231969,2374016,2419155,643230,804746,798,87,242,361,427,326905,408526,482612,536934,74335,137075,35,18,20,22,23,53,90,116,5657,39,66,85055,24,47,78,103,1906793,1950897,1965293,1969837,568855,769115,66
1,16384,10000,5616,881487,690518,697185,722175,743614,1011098,1027044,1056316,1071625,879405,95523,694283,291055,312459,366214,404744,944437,975319,1009834,1027641,681829,196787,20,12,13,14,15,28,31,43,7554,22,75,178515,15196,15408,36370,60894,377246,452971,522499,534569,197552,123401,87
1,262144,2000,304,974,754,828,861,878,19151,21857,25364,31511,6318,7514,464,303,391,415,431,485,492,514,4952,462,57,251,157,214,228,230,281,292,334,8640,261,189,234,44,156,171,178,18426,21124,24646,30772,5594,7512,76
1,262144,3000,305,915,737,820,846,859,15392,17985,20455,22931,4601,5958,458,327,395,416,434,479,486,513,4217,458,76,242,205,215,228,230,265,275,314,9069,252,203,199,69,162,172,178,14678,17271,19755,22215,3889,5954,76
1,262144,1000,306,1007,715,796,833,853,20296,23443,27547,32828,6970,8085,448,300,357,392,404,474,482,507,16747,443,167,243,203,214,222,224,270,280,327,8988,251,161,293,35,164,177,184,19619,22754,26899,32190,6275,8089,76
1,262144,4000,306,952,686,812,848,864,19333,23803,27950,35944,6459,7944,456,298,375,406,424,475,482,508,35343,460,437,242,129,212,220,222,267,278,321,7731,250,176,223,20,165,179,186,18627,23070,27213,30102,5748,7932,76
1,262144,500,307,929,737,798,833,848,16099,18840,21219,26254,4846,6236,461,302,364,401,409,484,491,513,1100,453,33,235,171,210,219,221,261,273,326,8778,246,191,212,3,176,186,192,15383,18131,20507,25616,4147,6234,76
1,262144,800,307,912,694,787,822,844,15211,17837,21101,25759,4523,5934,456,293,352,397,406,475,484,502,1082,449,32,232,163,212,218,220,254,264,313,12967,243,260,208,34,171,182,187,14469,17142,20374,23823,3829,5922,76
1,262144,8000,987,2824983,2693086,2702105,2711967,2723168,2902211,2913880,2925632,2932368,2821441,62976,855412,723265,729123,740451,758644,943940,987194,1008082,1015695,857425,71380,59,49,51,53,54,68,74,87,5407,62,86,1969685,1679379,1694092,1769366,1787326,2127231,2154036,2179739,2192157,1963954,125423,246
1,262144,6000,1071,2769027,1384086,1398707,1424418,1477146,3351395,3387007,3400242,3406600,2531554,751256,904999,713012,720856,747381,774188,1021013,1033287,1044546,1049954,904851,84496,60,49,52,54,55,69,74,89,9955,63,119,1945247,339920,358808,404306,492057,2451742,2519298,2557464,2567266,1626639,776226,267
1,262144,5000,1130,2779003,1342945,1349691,1372380,1403792,2823935,2828265,2833298,2837687,2345140,636763,915896,685068,695114,722166,745831,1016254,1025730,1042310,1049046,895492,99409,60,44,51,53,55,70,76,91,10159,64,121,1822978,297005,307042,352612,422773,2051791,2076896,2111677,2121495,1449584,663322,282
1,262144,10000,1145,2759072,1262024,1268979,1311682,1357223,2869685,2880686,2896760,2904359,2340320,655677,892121,752121,760675,787889,810604,978396,989825,1002210,1008556,893063,62709,60,49,51,53,55,70,76,89,3626,63,71,1817330,265269,276281,338349,423771,2049635,2078071,2117522,2128864,1447193,668523,286
1,262144,15000,1363,1466084,1236188,1243195,1286690,1305164,2869293,2898532,2928817,2936208,1880983,682163,846532,727989,736040,756194,766626,933351,945409,960883,967718,848445,60931,60,48,52,54,55,71,76,91,7099,64,110,658597,270983,282050,340319,374751,2080460,2136353,2193006,2204073,1032473,703112,340
3,1024,500,498,3119,193,364,400,441,22591,25388,29672,36883,8027,9084,341,86,214,254,267,356,359,368,16209,328,81,106,46,99,100,101,123,129,137,3720,111,39,2663,0,13,15,16,22155,24942,29231,36422,7587,9082,0
3,1024,800,796,1819,126,191,314,356,20003,22468,26890,36459,6889,8100,245,55,108,164,182,259,262,271,15771,235,78,106,40,53,99,101,122,127,139,7392,109,63,1469,0,13,15,16,19659,22124,26528,36110,6544,8097,0
3,1024,18000,1007,12307311,12160675,12164298,12169312,12173652,12597279,12643540,12777059,12798540,12368225,176385,547098,146396,168141,234932,268794,803545,845039,881363,898051,541638,197332,11276277,11030115,11031513,11036959,11045076,11474849,11494530,11512542,11516535,11269770,168125,520346,198006,220285,240226,264715,910014,1003872,1093574,1123150,556816,237912,0
3,1024,15000,1015,12146911,12041242,12044805,12053932,12061209,12532526,12535496,12546003,12550301,12240735,188979,394499,76,439,15771,57207,709002,751632,795244,809644,389303,235830,11172193,11105202,11110909,11116185,11123057,11553389,11571030,11588349,11592570,11284331,183184,530937,212313,222451,239709,265361,907902,972519,1072114,1112878,567100,239621,0
3,1024,20000,1020,12311406,12185380,12190044,12195366,12200108,12377172,12392327,12428287,12435817,12297834,63675,595543,255505,274226,316401,346641,819403,846889,877151,895352,588746,172505,11068598,10998368,10999660,11004845,11011482,11272304,11289202,11306806,11310660,11119124,103745,586301,198652,210849,237750,273074,932939,1000874,1069227,1101834,589963,243898,0
3,1024,10000,1033,11799467,11239930,11252714,11289332,11351413,12144539,12217975,12300862,12328482,11783388,274117,624,68,251,309,336,447658,503705,563811,590648,133411,181475,11055731,10307442,10347157,10507128,10689936,11492296,11508699,11527862,11531966,11117252,319735,506075,191225,198671,223730,258999,846947,909626,1027343,1083001,532725,220256,1
3,1024,8000,1040,11550839,10773196,10795848,10877039,10989972,11898100,11972267,12088731,12124945,11512076,320700,394,53,228,283,312,235690,305367,378069,409845,49938,101042,10880748,9805611,9854498,10055363,10199827,11422224,11455991,11492047,11496571,10830623,453817,612686,211718,224775,245704,270787,1016231,1107957,1233019,1263639,631514,280315,1
3,1024,6000,1062,10981539,10227909,10267476,10373325,10453609,11531584,11622283,11747445,11801896,10985341,398878,382,54,273,316,339,651,17757,107309,170582,4030,17947,10379226,9164288,9231761,9374450,9490817,11268342,11325870,11496414,11500589,10375594,642379,570686,193704,204773,230885,269418,967509,1111060,1236595,1269546,605716,273858,1
3,1024,5000,1081,10506659,9416880,9470027,9593302,9731411,11288502,11445343,11686563,11751030,10527293,568506,370,132,242,283,311,403,422,512,3940,372,148,9890036,8349350,8428025,8648421,8822689,10955811,11127748,11356890,11436152,9889190,788978,608633,221387,229250,259686,299471,1012167,1106615,1248927,1283426,637731,270246,1
3,1024,2000,1974,835729,89,102,110,279,4810206,5342212,5764096,5912714,1692654,1914321,52,26,42,47,48,60,62,102,14120,54,74,44,34,36,36,37,2952430,3629646,4165235,4317291,688261,1224051,835639,6,15,17,157,2323233,2448250,2576403,2633470,1004338,975358,1
3,1024,4000,2286,6413382,4654344,4726126,4939455,5137975,8047963,8280236,8552017,8637869,6501181,1068601,46,31,35,39,42,49,50,54,4876,46,30,4210811,659621,852139,1174533,1507985,6913628,7250281,7576532,7735552,4209917,1954351,2177082,871889,918076,1030321,1131681,3637622,3844425,4200000,4339146,2291217,912091,2
3,1024,3000,2473,4285193,1610807,1728461,1976999,2220509,6795174,7132635,7491684,7597005,4400423,1666221,52,29,36,44,47,57,58,63,18979,52,72,2029754,35,36,38,39,5623490,6072627,6522994,6702006,2372369,2170693,2044652,894950,953538,1059466,1169610,2833130,2939674,3085765,3152835,2028000,597533,2
3,16384,500,498,3960,152,389,424,473,24546,27118,29782,38629,8787,9668,358,77,223,263,275,376,380,390,17242,345,139,105,49,99,100,101,121,126,143,5446,110,83,3497,15,25,27,28,24096,26655,29328,32533,8330,9664,7
3,16384,15000,762,12360303,12200804,12211824,12216990,12221658,12706065,12717729,12732537,12738474,12426425,191105,981003,670039,685488,738898,798105,1146924,2842837,2896653,2909630,1081401,486570,10835293,8501366,8505846,8525066,10648787,11026719,11069812,11106729,11116004,10697809,589938,619692,231174,243063,282339,332164,1018987,1133000,1225574,1249560,647214,253581,11
3,16384,10000,765,12199302,11863388,11868811,11884800,11904793,12413595,12449885,12483979,12500383,12171400,181946,607698,173804,198832,254471,295112,896278,935386,980987,1002373,601107,218336,11078556,10617072,10622138,10642788,10671504,11233355,11258400,11285307,11294475,11003545,209512,541589,232057,244301,280694,308619,891242,959555,1045774,1064052,566748,211554,11
3,16384,18000,767,12458020,12277187,12284339,12289257,12298363,12503330,12507342,12526267,12529059,12434181,71984,1049617,838344,845778,880421,908057,1162955,1179425,1196869,1205251,1040207,92027,10854891,10607651,10613364,10638575,10670495,11026781,11054812,11098691,11108154,10853538,124927,538052,236760,249171,274646,302855,789268,835596,903369,921569,540435,181555,11
3,16384,8000,792,11671482,11298778,11318724,11366962,11405688,11952402,11992997,12074706,12100334,11675258,199431,326278,36,236,449,628,702640,752701,838914,867223,335663,263035,10826349,10450002,10488151,10584902,10649635,10948362,10964778,10983833,10994955,10815731,111126,518882,232625,244698,278039,300976,762152,800082,833401,848581,523863,168847,12
3,16384,800,794,11120,147,224,357,395,44506,155793,975583,1174650,46888,156514,257,60,106,124,175,271,274,284,4547,237,60,121,43,59,98,110,153,170,209443,417778,4245,33783,10756,2,27,29,30,44129,155442,763558,777529,42406,131979,12
3,16384,6000,808,11209941,10658746,10681816,10747510,10797857,11650429,11697877,11768308,11800079,11212185,307436,1416,107,337,458,550,498847,565794,640282,674059,149569,202819,10672953,9810173,9842907,9923100,10006572,10864912,10908715,10951968,10962321,10523853,322449,536023,231236,243277,282220,306056,786885,826509,871138,888853,538762,176559,12
3,16384,5000,816,10915653,10151370,10181511,10293701,10364011,11477196,11553303,11676249,11732141,10918176,408683,725,79,260,364,428,307426,392157,458493,490360,68428,129717,10380258,9316975,9362845,9480793,9580805,10885578,10939592,10990655,11001331,10312561,495272,531798,231297,243164,276683,300917,777669,819378,908253,950119,537186,177053,12
3,16384,1000,990,26939,175,268,340,395,2198809,2974580,3598159,3747448,467117,956929,250,64,108,118,166,267,271,280,1437,227,50,117,41,51,63,103,1016958,1857753,2529564,2696311,216766,585405,26618,12,27,29,30,1138514,1201062,1251995,1268633,250123,441636,15
3,16384,4000,1664,6971878,5517403,5571904,5721643,5862123,8226873,8388042,8610822,8716942,7006997,862808,50,36,42,44,46,54,56,62,14668,51,67,5702019,3351652,3447620,3712153,3933765,7456271,7675151,7961769,8102049,5695832,1281450,1272582,604756,649010,710658,768155,1924606,2016523,2146028,2202129,1311113,421716,26
3,16384,3000,1685,6252759,4238623,4302753,4451697,4644253,8010765,8233671,8436284,8543151,6292303,1211871,61,41,49,54,56,65,66,72,13457,61,60,5014438,2110792,2240366,2486435,2765868,7270412,7549022,7796800,7935182,5015696,1626909,1231890,607910,638641,682039,740893,1880977,1969366,2089837,2138747,1276545,418884,26
3,16384,2000,1920,3572126,140700,274067,536555,856390,6382660,6751262,7041235,7196356,3593538,1995022,61,40,49,55,57,68,72,143,4910,64,43,2218001,40,42,44,49,5574453,6000249,6342106,6565820,2448663,2119426,1138970,140583,273955,536450,705607,1642858,1721852,1815999,1864355,1144810,367836,30
3,262144,10000,244,12900642,12507345,12513035,12561374,12593300,13703890,13749722,13773838,13785729,13065652,435388,845654,661428,670475,697956,744419,942428,957856,972935,980802,841765,74956,11256333,10826242,10833298,10862882,10894881,12023330,12059410,12090257,12098172,11392242,435973,838475,457769,469747,499344,538309,1121084,1150273,1187066,1195763,831644,210236,61
